,abv,available,availableId,beerVariation,beerVariationId,createDate,description,foodPairings,glass,glasswareId,ibu,id,isOrganic,isRetired,labels,name,nameDisplay,originalGravity,servingTemperature,servingTemperatureDisplay,srm,srmId,status,statusDisplay,style,styleId,updateDate,year
0,7.0,"{'id': 4, 'name': 'Seasonal', 'description': 'Available at the same time of year, every year.'}",4.0,,,2012-09-09 13:35:27,"Milwaukee Brewing Co’s take on a classic European style. Baltic Porters are the stronger lager fermented cousin of the classic London Porter. The higher strength and cold fermentation help to create a smooth, less fruity porter, rich in roasted malt flavors and aromas. The “Admiral” Stache has a deep brown hue with a light caramel head. Toffee and milk chocolate dominate the flavor with subtle hints of dried fruit. One month of aging in Bourbon Barrels imparted a layer of vanilla and oak.

We first developed this beer in 2007. Our first attempted batch of beer at the 2nd street location was a Baltic Porter. What we ended up with became known as “Shake Down Nut Brown”. You can guess what went wrong from there… But, so many things right! Every year that has gone by, the beer has gotten a little bit stronger, in flavor and alcohol.

We use a black malt for the dark rich color and an extra special malt for the dried fruit flavors. Baltic Porters are fermented cold with a lager yeast. That long slow maturation creates a smooth flavor profile. The anticipation of the bourbon barrel aging it the most exciting part of this brew process. We want that oak character with hints of bourbon, we use 3rd run barrels for this result. Each batch has been slightly different from the last.",,"{'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}",5.0,23.0,tmEthz,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/tmEthz/upload_3Jl1St-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/tmEthz/upload_3Jl1St-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/tmEthz/upload_3Jl1St-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/tmEthz/upload_3Jl1St-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/tmEthz/upload_3Jl1St-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/tmEthz/upload_3Jl1St-contentAwareLarge.png'}","""Admiral"" Stache","""Admiral"" Stache",1.071,,,"{'id': 37, 'name': '37', 'hex': '3F0708'}",37.0,verified,Verified,"{'id': 104, 'categoryId': 9, 'category': {'id': 9, 'name': 'Other Lager', 'createDate': '2012-03-21 20:06:46'}, 'name': 'Baltic-Style Porter', 'shortName': 'Baltic Porter', 'description': 'A true smooth cold-fermented and cold lagered beer, brewed with lager yeast. Black to very deep ruby/garnet in color. Overall, Baltic Porters have a very smooth lagered character with distinctive caramelized sugars, licorice and chocolate-like character of roasted malts and dark sugars. Roasted dark malts should not contribute bitterness, or astringent roast character. A low degree of smokiness from malt may be evident. Debitterized roast malts are best used for this style. Because of its alcoholic strength, aroma may include gentle (low) lager fruitiness (berries, grapes, plums, not banana; ale-like fruitiness from warm temperature fermentation is not appropriate), complex alcohols, cocoa-like, roast malt (and sometimes coffee-like roast barley, yet not bitter). Hop aroma is very low, though a hint of floral or sweet hop aroma can complement aromatics and flavor without dominance. Baltic Porters are not hop bitter dominated and expressed as low to medium-low. Baltic porters range from having medium to full body complemented with a medium-low to medium level of malty sweetness. No butterscotch-like diacetyl or sweet corn-like dimethylsulfide (DMS) should be apparent in aroma or flavor.', 'ibuMin': '35', 'ibuMax': '40', 'abvMin': '7.5', 'abvMax': '9', 'srmMin': '40', 'srmMax': '40', 'ogMin': '1.072', 'fgMin': '1.016', 'fgMax': '1.022', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:41:46'}",104,2016-11-11 14:23:06,
1,5.1,"{'id': 1, 'name': 'Year Round', 'description': 'Available year round as a staple beer.'}",1.0,,,2012-01-03 02:42:36,"Not quite pale ale.  A beer cloaked in secrecy.  An ale whose mysterious unusual palate will swirl across your tongue and ask more questions than it answers.

A sort of dry, crisp, fruity, refreshing, not-quite pale ale.  #9 is really impossible to describe because there's never been anything else quite like it.  Our secret ingredient introduces a most unusual aroma which is balanced with residual sweetness.",,"{'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}",5.0,20.0,hB0QeO,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/hB0QeO/upload_tI37PC-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/hB0QeO/upload_tI37PC-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/hB0QeO/upload_tI37PC-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/hB0QeO/upload_tI37PC-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/hB0QeO/upload_tI37PC-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/hB0QeO/upload_tI37PC-contentAwareLarge.png'}",#9,#9,1.048,cold,Cold - (4-7C/39-45F),"{'id': 9, 'name': '9', 'hex': 'E58500'}",9.0,verified,Verified,"{'id': 25, 'categoryId': 3, 'category': {'id': 3, 'name': 'North American Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'American-Style Pale Ale', 'shortName': 'American Pale', 'description': 'American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.', 'ibuMin': '30', 'ibuMax': '42', 'abvMin': '4.5', 'abvMax': '5.6', 'srmMin': '6', 'srmMax': '14', 'ogMin': '1.044', 'fgMin': '1.008', 'fgMax': '1.014', 'createDate': '2012-03-21 20:06:45', 'updateDate': '2015-04-07 15:25:18'}",25,2015-12-15 23:21:11,
2,4.8,"{'id': 1, 'name': 'Year Round', 'description': 'Available year round as a staple beer.'}",1.0,,,2016-06-21 16:27:40,"Social Media have revolutionized human interaction ... and for all their pro's and con's, they cannot be overlooked for their power to give a platform to be heard, a voice to the otherwise voiceless. 

As a nod to this, we bring you ""#KÖLSCH"" Köln-style Ale. We start by stripping our water down to the bare essentials then rebuild it to match the mineral content of the water in Köln, Germany. Then we add in tons of German Pilsner malts and eine kleine menge of German Perle and Tettnang hops. Easy going, crisp and refreshing!","Fish & chips, chicken fingers, dilly dippers ... anything fried!","{'id': 4, 'name': 'Pilsner', 'createDate': '2012-01-03 02:41:33'}",4.0,27.0,m8f62Y,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/m8f62Y/upload_IHiHKI-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/m8f62Y/upload_IHiHKI-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/m8f62Y/upload_IHiHKI-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/m8f62Y/upload_IHiHKI-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/m8f62Y/upload_IHiHKI-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/m8f62Y/upload_IHiHKI-contentAwareLarge.png'}",#KoLSCH,#KoLSCH,1.045,very_cold,Very Cold - (0-4C/32-39F),"{'id': 3, 'name': '3', 'hex': 'FFCA5A'}",3.0,verified,Verified,"{'id': 45, 'categoryId': 4, 'category': {'id': 4, 'name': 'German Origin Ales', 'createDate': '2012-03-21 20:06:46'}, 'name': 'German-Style Kölsch / Köln-Style Kölsch', 'shortName': 'Kölsch', 'description': 'Kölsch is warm fermented and aged at cold temperatures (German ale or alt-style beer). Kölsch is characterized by a golden to straw color and a slightly dry, subtly sweet softness on the palate, yet crisp. Good, dense head retention is desirable. Light pearapple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. Caramel character should not be evident. The body is light to medium-light. This beer has low hop flavor and aroma with medium bitterness. Wheat can be used in brewing this beer. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process. Fruity esters should be minimally perceived, if at all. Chill haze should be absent.', 'ibuMin': '18', 'ibuMax': '25', 'abvMin': '4.8', 'abvMax': '5.3', 'srmMin': '4', 'srmMax': '6', 'ogMin': '1.042', 'fgMin': '1.006', 'fgMax': '1.01', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:29:04'}",45,2016-06-23 15:36:35,
3,7.0,"{'id': 2, 'name': 'Limited', 'description': 'Limited availability.'}",2.0,,,2012-04-11 01:58:50,A Saison brewed with rye malt and three types of peppercorn.  This is Bart’s first NoDable Series brew so come out and enjoy!,,"{'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}",5.0,30.0,qbRV90,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/qbRV90/upload_OhEPYR-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/qbRV90/upload_OhEPYR-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/qbRV90/upload_OhEPYR-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/qbRV90/upload_OhEPYR-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/qbRV90/upload_OhEPYR-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/qbRV90/upload_OhEPYR-contentAwareLarge.png'}",'tis the Saison,'tis the Saison,,,,"{'id': 7, 'name': '7', 'hex': 'F39C00'}",7.0,verified,Verified,"{'id': 72, 'categoryId': 5, 'category': {'id': 5, 'name': 'Belgian And French Origin Ales', 'createDate': '2012-03-21 20:06:46'}, 'name': 'French & Belgian-Style Saison', 'shortName': 'Saison', 'description': 'Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.', 'ibuMin': '20', 'ibuMax': '40', 'abvMin': '4.5', 'abvMax': '8.5', 'srmMin': '4', 'srmMax': '14', 'ogMin': '1.055', 'fgMin': '1.004', 'fgMax': '1.016', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:34:55'}",72,2015-12-16 16:20:18,
4,6.0,"{'id': 5, 'name': 'Spring', 'description': 'Available during the spring months.'}",5.0,,,2012-01-03 02:42:36,"(512) ALT is a German-style amber ale that is fermented cooler than typical ales and cold conditioned like a lager. ALT means ""old"" in German and refers to a beer style made using ale yeast after many German brewers had switched to newly discovered lager yeast. This ale has a very smooth, yet pronounced, hop bitterness with a malty backbone and a characteristic German yeast character. Made with 98% Organic 2-row and Munch malts and US noble hops.",,"{'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}",5.0,36.0,tciJOF,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/tciJOF/upload_cdbSIJ-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/tciJOF/upload_cdbSIJ-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/tciJOF/upload_cdbSIJ-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/tciJOF/upload_cdbSIJ-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/tciJOF/upload_cdbSIJ-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/tciJOF/upload_cdbSIJ-contentAwareLarge.png'}",(512) ALT,(512) ALT,,cold,Cold - (4-7C/39-45F),"{'id': 21, 'name': '21', 'hex': '952D00'}",21.0,verified,Verified,"{'id': 55, 'categoryId': 4, 'category': {'id': 4, 'name': 'German Origin Ales', 'createDate': '2012-03-21 20:06:46'}, 'name': 'German-Style Altbier', 'shortName': 'Altbier', 'description': 'German-Style Altbiers are copper to dark brown ales, originally from the Düsseldorf area. No chill haze should be perceived. A variety of malts including wheat may be used to produce medium-low to medium malt aroma. Fruityester aroma can be low. No diacetyl aroma should be perceived. Hop aroma is low to medium. A variety of malts including wheat may be used to produce medium-low to medium level malty flavor. Hop flavor is low to medium. Hop bitterness is medium to very high (although the 25 to 35 IBU range is more normal for the majority of Altbiers from Düsseldorf). Fruity-ester flavors can be low. No diacetyl should be perceived. The overall impression is clean, crisp, and flavorful often with a dry finish. Body is medium.', 'ibuMin': '25', 'ibuMax': '52', 'abvMin': '4.3', 'abvMax': '5.5', 'srmMin': '11', 'srmMax': '19', 'ogMin': '1.044', 'fgMin': '1.008', 'fgMax': '1.014', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 17:08:31'}",55,2015-12-16 05:20:58,
5,7.5,"{'id': 5, 'name': 'Spring', 'description': 'Available during the spring months.'}",5.0,,,2012-01-03 02:42:36,"An entirely new creation from organic 2-row, organic Crystal 60 and Carafa III, a huskless black malt that gives this beer it’s black color with notes of coffee and chicory without any tannic bitterness. The hop additions are many and generous, featuring Apollo, Horizon, and Nugget, clocking the beer in at 70 IBU. Over 11 pounds per batch of Nugget hops are added directly to the fermenter yielding a resiny herbal and spicy aroma. A hybrid style for dark beer fans who love hops.",,"{'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}",5.0,70.0,6PPnT2,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/6PPnT2/upload_Cnl1UJ-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/6PPnT2/upload_Cnl1UJ-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/6PPnT2/upload_Cnl1UJ-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/6PPnT2/upload_Cnl1UJ-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/6PPnT2/upload_Cnl1UJ-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/6PPnT2/upload_Cnl1UJ-contentAwareLarge.png'}",(512) Black IPA,(512) Black IPA,,cold,Cold - (4-7C/39-45F),"{'id': 41, 'name': 'Over 40', 'hex': '000000'}",41.0,verified,Verified,"{'id': 125, 'categoryId': 11, 'category': {'id': 11, 'name': 'Hybrid/mixed Beer', 'createDate': '2012-03-21 20:06:46'}, 'name': 'Specialty Beer', 'shortName': 'Specialty', 'description': 'These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.', 'ibuMax': '100', 'abvMin': '2.5', 'abvMax': '25', 'srmMin': '1', 'srmMax': '100', 'ogMin': '1.03', 'fgMin': '1.006', 'fgMax': '1.03', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:44:53'}",125,2015-12-16 07:13:40,
6,7.6,"{'id': 7, 'name': 'Fall', 'description': 'Available during the fall months.'}",7.0,,,2012-01-03 02:42:36,"At once cuddly and ferocious, (512) BRUIN combines a smooth, rich maltiness and mahogany color with a solid hop backbone and stealthy 7.6% alcohol. Made with Organic 2 Row and Munich malts, plus Chocolate and Crystal malts, domestic hops, and a touch of molasses, this brew has notes of raisins, dark sugars, and cocoa, and pairs perfectly with food and the crisp fall air.",,"{'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}",5.0,30.0,VwR7Xg,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/VwR7Xg/upload_MiNs9j-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/VwR7Xg/upload_MiNs9j-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/VwR7Xg/upload_MiNs9j-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/VwR7Xg/upload_MiNs9j-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/VwR7Xg/upload_MiNs9j-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/VwR7Xg/upload_MiNs9j-contentAwareLarge.png'}",(512) Bruin (A.K.A. Brown Bear),(512) Bruin (A.K.A. Brown Bear),,cold,Cold - (4-7C/39-45F),"{'id': 21, 'name': '21', 'hex': '952D00'}",21.0,verified,Verified,"{'id': 37, 'categoryId': 3, 'category': {'id': 3, 'name': 'North American Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'American-Style Brown Ale', 'shortName': 'American Brown', 'description': 'American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.', 'ibuMin': '25', 'ibuMax': '45', 'abvMin': '4', 'abvMax': '6.4', 'srmMin': '15', 'srmMax': '26', 'ogMin': '1.04', 'fgMin': '1.01', 'fgMax': '1.018', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:27:35'}",37,2015-12-16 05:30:35,
7,6.0,"{'id': 8, 'name': 'Winter', 'description': 'Available during the winter months.'}",8.0,,,2012-01-03 02:42:36,"Smooth and roasty, and black as night, (512) Cascabel Cream Stout is brewed to a hair under 6% abv using almost 90% Organic Two Row and Crystal Malts, Chocolate Malt, and Roasted Barley. Non-fermentable Brewers Lactose is added for lasting sweetness, and over 20 pounds of Guajillo Chiles are added to warm you up when the night gets “chile”.",,"{'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}",5.0,20.0,SqP18Z,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/SqP18Z/upload_8FxcuW-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/SqP18Z/upload_8FxcuW-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/SqP18Z/upload_8FxcuW-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/SqP18Z/upload_8FxcuW-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/SqP18Z/upload_8FxcuW-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/SqP18Z/upload_8FxcuW-contentAwareLarge.png'}",(512) Cascabel Cream Stout,(512) Cascabel Cream Stout,,cool,Cool - (8-12C/45-54F),"{'id': 41, 'name': 'Over 40', 'hex': '000000'}",41.0,verified,Verified,"{'id': 20, 'categoryId': 1, 'category': {'id': 1, 'name': 'British Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'Sweet or Cream Stout', 'shortName': 'Sweet Stout', 'description': 'Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.', 'ibuMin': '15', 'ibuMax': '25', 'abvMin': '3', 'abvMax': '6', 'srmMin': '40', 'srmMax': '40', 'ogMin': '1.045', 'fgMin': '1.012', 'fgMax': '1.02', 'createDate': '2012-03-21 20:06:45', 'updateDate': '2015-04-07 15:24:41'}",20,2015-12-16 06:24:47,
8,10.1,"{'id': 8, 'name': 'Winter', 'description': 'Available during the winter months.'}",8.0,,,2015-06-19 16:03:18,"(512) FIVE is the culmination of our experience thus far and features a lineup of some of our favorite ingredients. Organic American two-row and English Maris Otter malts lay the foundation, while a generous dose of English roasted barley, black malt and chocolate malt create layers of roasty, dark complexity. American and Belgian crystal malts give balance and depth to the roasted character. Multiple additions of UK Fuggle hops impart an earthy, spicy finish to this deep, dark Imperial Stout.",,"{'id': 6, 'name': 'Snifter', 'createDate': '2012-01-03 02:41:33'}",6.0,45.0,SV7JCk,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/SV7JCk/upload_RNljF3-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/SV7JCk/upload_RNljF3-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/SV7JCk/upload_RNljF3-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/SV7JCk/upload_RNljF3-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/SV7JCk/upload_RNljF3-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/SV7JCk/upload_RNljF3-contentAwareLarge.png'}",(512) FIVE,(512) FIVE,,cool,Cool - (8-12C/45-54F),"{'id': 41, 'name': 'Over 40', 'hex': '000000'}",41.0,verified,Verified,"{'id': 43, 'categoryId': 3, 'category': {'id': 3, 'name': 'North American Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'American-Style Imperial Stout', 'shortName': 'American Imperial Stout', 'description': 'Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.', 'ibuMin': '50', 'ibuMax': '80', 'abvMin': '7', 'abvMax': '12', 'srmMin': '40', 'srmMax': '40', 'ogMin': '1.08', 'fgMin': '1.02', 'fgMax': '1.03', 'createDate': '2012-03-21 20:06:46', 'updateDate': '2015-04-07 15:28:49'}",43,2015-12-18 02:19:48,
9,7.5,"{'id': 2, 'name': 'Limited', 'description': 'Limited availability.'}",2.0,,,2013-10-07 22:14:45,"For our 4th anniversary, we turned to one of our greatest inspirations, the rich brewing tradition of Great Britain.

(512) FOUR is a classic English-style Strong Ale. The biscuity Maris Otter and caramelly Crystal malts contribute notes of toast, toffee, and dried fruits, which are perfectly balanced with a blend of authentic UK Fuggle and East Kent Golding hops. Dry-hopped with Northdown, (512) FOUR is a complex and satisfying ale.",,"{'id': 5, 'name': 'Pint', 'createDate': '2012-01-03 02:41:33'}",5.0,35.0,oJFZwK,N,N,"{'icon': 'https://brewerydb-images.s3.amazonaws.com/beer/oJFZwK/upload_B40pzO-icon.png', 'medium': 'https://brewerydb-images.s3.amazonaws.com/beer/oJFZwK/upload_B40pzO-medium.png', 'large': 'https://brewerydb-images.s3.amazonaws.com/beer/oJFZwK/upload_B40pzO-large.png', 'contentAwareIcon': 'https://brewerydb-images.s3.amazonaws.com/beer/oJFZwK/upload_B40pzO-contentAwareIcon.png', 'contentAwareMedium': 'https://brewerydb-images.s3.amazonaws.com/beer/oJFZwK/upload_B40pzO-contentAwareMedium.png', 'contentAwareLarge': 'https://brewerydb-images.s3.amazonaws.com/beer/oJFZwK/upload_B40pzO-contentAwareLarge.png'}",(512) FOUR,(512) FOUR,,cold,Cold - (4-7C/39-45F),"{'id': 8, 'name': '8', 'hex': 'EA8F00'}",8.0,verified,Verified,"{'id': 14, 'categoryId': 1, 'category': {'id': 1, 'name': 'British Origin Ales', 'createDate': '2012-03-21 20:06:45'}, 'name': 'Strong Ale', 'shortName': 'Strong Ale', 'description': 'Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)', 'ibuMin': '30', 'ibuMax': '65', 'abvMin': '7', 'abvMax': '11', 'srmMin': '8', 'srmMax': '21', 'ogMin': '1.06', 'fgMin': '1.014', 'fgMax': '1.04', 'createDate': '2012-03-21 20:06:45', 'updateDate': '2015-04-07 15:21:05'}",14,2015-12-17 06:36:42,
